Geography,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,TotalSalaryPopulation,100k+,125Kk+,150k+,200k+, MedianHomeValue ,PctRenter,TotalRentersPopulation,OwnerOccupied,RenterOccupied,PctBAPlus
860Z200US44123,ZCTA5 44123,"18,391"," $ 54,979.00 ",17.4%,"8,266",524,378,284,250," $ 103,400.00 ",55.0%,8266,3723,454300.00%,21.9%
860Z200US44124,ZCTA5 44124,"40,046"," $ 78,895.00 ",39.9%,"19,014","2,069","1,368","1,869","2,281"," $ 210,600.00 ",36.1%,19014,12156,685800.00%,44.6%
860Z200US44125,ZCTA5 44125,"29,366"," $ 55,524.00 ",20.9%,"11,885",927,613,646,298," $ 107,400.00 ",38.2%,11885,7350,453500.00%,16.7%
860Z200US44126,ZCTA5 44126,"17,012"," $ 77,944.00 ",38.9%,"7,774",811,684,890,636," $ 225,800.00 ",28.6%,7774,5547,222700.00%,43.6%
860Z200US44127,ZCTA5 44127,"4,399"," $ 32,955.00 ",3.8%,"1,826",47,14,0,9," $ 50,600.00 ",59.1%,1826,747,107900.00%,10.4%
860Z200US44128,ZCTA5 44128,"27,611"," $ 44,615.00 ",13.2%,"12,548",793,404,315,139," $ 90,200.00 ",51.7%,12548,6059,648900.00%,17.2%
860Z200US44129,ZCTA5 44129,"28,607"," $ 67,619.00 ",26.6%,"12,058","1,225",846,799,340," $ 150,400.00 ",28.6%,12058,8615,344300.00%,22.4%
860Z200US44130,ZCTA5 44130,"49,778"," $ 68,099.00 ",29.0%,"22,785","2,604","1,468","1,388","1,144"," $ 184,900.00 ",36.1%,22785,14561,822400.00%,27.4%
860Z200US44131,ZCTA5 44131,"20,619"," $ 98,838.00 ",49.1%,"8,572","1,032",818,"1,134","1,223"," $ 252,400.00 ",5.0%,8572,8143,42900.00%,37.0%
860Z200US44132,ZCTA5 44132,"13,985"," $ 46,014.00 ",20.6%,"6,327",756,249,240,56," $ 109,600.00 ",52.8%,6327,2986,334100.00%,22.3%
860Z200US44133,ZCTA5 44133,"31,045"," $ 81,803.00 ",40.6%,"13,684","1,543",970,"1,588","1,459"," $ 276,200.00 ",28.9%,13684,9727,395700.00%,37.0%
860Z200US44134,ZCTA5 44134,"38,231"," $ 67,116.00 ",28.1%,"16,506","1,558","1,137","1,157",786," $ 153,500.00 ",22.7%,16506,12756,375000.00%,24.8%
860Z200US44135,ZCTA5 44135,"27,591"," $ 48,930.00 ",19.5%,"11,369",719,607,496,397," $ 119,100.00 ",41.2%,11369,6683,468600.00%,17.2%
860Z200US44136,ZCTA5 44136,"25,068"," $ 93,713.00 ",46.8%,"10,718","1,134",994,"1,452","1,431"," $ 271,300.00 ",28.1%,10718,7711,300700.00%,44.5%
860Z200US44137,ZCTA5 44137,"23,385"," $ 52,990.00 ",15.5%,"9,269",553,370,420,98," $ 89,800.00 ",36.5%,9269,5887,338200.00%,15.1%
860Z200US44138,ZCTA5 44138,"23,129"," $ 93,877.00 ",46.0%,"9,621",959,793,"1,202","1,476"," $ 239,200.00 ",23.4%,9621,7367,225400.00%,42.1%
860Z200US44139,ZCTA5 44139,"24,754"," $ 134,924.00 ",62.8%,"9,010",950,744,"1,326","2,635"," $ 373,800.00 ",15.1%,9010,7649,136100.00%,56.1%
860Z200US44140,ZCTA5 44140,"15,992"," $ 122,083.00 ",62.5%,"6,104",803,570,854,"1,587"," $ 332,500.00 ",8.7%,6104,5576,52800.00%,60.9%
860Z200US44141,ZCTA5 44141,"13,954"," $ 127,347.00 ",63.1%,"5,516",676,603,714,"1,487"," $ 360,300.00 ",14.8%,5516,4698,81800.00%,50.5%
860Z200US44142,ZCTA5 44142,"18,359"," $ 67,178.00 ",26.9%,"7,991",766,659,545,180," $ 158,300.00 ",18.1%,7991,6546,144500.00%,15.0%
860Z200US44143,ZCTA5 44143,"24,337"," $ 75,853.00 ",36.2%,"11,004",902,539,"1,170","1,372"," $ 252,200.00 ",26.0%,11004,8138,286600.00%,39.4%
860Z200US44144,ZCTA5 44144,"21,266"," $ 59,775.00 ",24.3%,"9,601",971,621,589,148," $ 138,000.00 ",42.6%,9601,5509,409200.00%,17.9%
860Z200US44145,ZCTA5 44145,"34,036"," $ 110,101.00 ",54.8%,"14,574","1,859","1,062","1,683","3,380"," $ 336,100.00 ",27.2%,14574,10613,396100.00%,49.7%
860Z200US44146,ZCTA5 44146,"29,474"," $ 53,049.00 ",22.4%,"13,984",967,685,788,687," $ 141,800.00 ",44.7%,13984,7737,624700.00%,22.6%
860Z200US44147,ZCTA5 44147,"19,768"," $ 99,431.00 ",49.7%,"8,598","1,062",503,913,"1,793"," $ 292,500.00 ",18.4%,8598,7013,158500.00%,49.3%
860Z200US44149,ZCTA5 44149,"21,042"," $ 114,107.00 ",56.3%,"8,382",995,"1,007","1,022","1,693"," $ 289,700.00 ",5.7%,8382,7905,47700.00%,48.1%
860Z200US44201,ZCTA5 44201,"6,928"," $ 77,264.00 ",31.9%,"2,538",169,262,234,145," $ 213,700.00 ",16.6%,2538,2116,42200.00%,17.4%
860Z200US44202,ZCTA5 44202,"22,857"," $ 116,556.00 ",57.8%,"9,176","1,063",687,"1,284","2,267"," $ 356,000.00 ",15.8%,9176,7725,145100.00%,53.7%
860Z200US44203,ZCTA5 44203,"38,705"," $ 59,124.00 ",25.6%,"16,868","1,588","1,052",932,741," $ 148,300.00 ",30.3%,16868,11751,511700.00%,20.3%
860Z200US44212,ZCTA5 44212,"45,817"," $ 87,776.00 ",43.0%,"18,519","2,337","2,010","2,225","1,395"," $ 244,900.00 ",24.3%,18519,14017,450200.00%,28.5%
860Z200US44214,ZCTA5 44214,"2,362"," $ 87,381.00 ",47.0%,728,95,43,126,78," $ 212,200.00 ",16.5%,728,608,12000.00%,14.2%
860Z200US44215,ZCTA5 44215,"2,574"," $ 79,352.00 ",32.5%,996,102,79,66,77," $ 202,000.00 ",13.8%,996,859,13700.00%,23.0%
860Z200US44216,ZCTA5 44216,"9,461"," $ 96,321.00 ",47.5%,"3,556",506,349,573,260," $ 214,000.00 ",6.3%,3556,3332,22400.00%,25.9%
860Z200US44217,ZCTA5 44217,"3,633"," $ 64,800.00 ",26.6%,"1,472",109,120,44,118," $ 178,000.00 ",13.6%,1472,1272,20000.00%,20.4%
860Z200US44221,ZCTA5 44221,"29,342"," $ 61,893.00 ",25.4%,"13,543","1,480",934,730,297," $ 160,400.00 ",41.2%,13543,7958,558500.00%,29.7%
860Z200US44223,ZCTA5 44223,"18,373"," $ 89,046.00 ",42.3%,"8,448","1,147",624,"1,086",718," $ 202,600.00 ",24.5%,8448,6375,207300.00%,45.4%
860Z200US44224,ZCTA5 44224,"38,512"," $ 91,096.00 ",44.4%,"15,776","1,711","1,457","1,976","1,857"," $ 243,500.00 ",30.8%,15776,10922,485400.00%,46.6%
860Z200US44230,ZCTA5 44230,"8,225"," $ 74,429.00 ",33.5%,"3,448",238,254,221,441," $ 194,100.00 ",14.8%,3448,2936,51200.00%,27.6%
860Z200US44231,ZCTA5 44231,"8,702"," $ 85,455.00 ",37.5%,"3,094",426,381,244,110," $ 204,700.00 ",16.9%,3094,2570,52400.00%,20.7%
860Z200US44232,ZCTA5 44232,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US44233,ZCTA5 44233,"8,073"," $ 138,268.00 ",67.0%,"2,793",316,435,387,733," $ 425,700.00 ",3.9%,2793,2685,10800.00%,38.0%
860Z200US44234,ZCTA5 44234,"4,078"," $ 73,519.00 ",36.5%,"1,428",168,101,144,108," $ 218,400.00 ",16.0%,1428,1200,22800.00%,31.9%
860Z200US44235,ZCTA5 44235,"1,369"," $ 74,067.00 ",24.2%,512,43,41,24,16," $ 271,800.00 ",15.2%,512,434,7800.00%,37.9%
860Z200US44236,ZCTA5 44236,"26,114"," $ 168,973.00 ",74.2%,"9,185",856,842,"1,332","3,787"," $ 436,900.00 ",10.6%,9185,8207,97800.00%,67.8%
860Z200US44240,ZCTA5 44240,"37,889"," $ 57,415.00 ",29.7%,"16,773","1,615","1,208","1,138","1,021"," $ 216,000.00 ",48.1%,16773,8700,807300.00%,42.7%
860Z200US44241,ZCTA5 44241,"18,355"," $ 81,392.00 ",38.2%,"7,624",808,778,845,485," $ 190,700.00 ",32.8%,7624,5121,250300.00%,25.8%
860Z200US44243,ZCTA5 44243,"5,010",,,0,0,0,0,0,,,0,0,0.00%,15.9%
860Z200US44250,ZCTA5 44250,"1,604"," $ 54,094.00 ",13.2%,665,24,0,45,19," $ 103,000.00 ",28.1%,665,478,18700.00%,6.8%
860Z200US44251,ZCTA5 44251,997," $ 119,531.00 ",56.9%,415,36,64,60,76," $ 354,000.00 ",10.8%,415,370,4500.00%,43.7%
860Z200US44253,ZCTA5 44253,"3,781"," $ 87,188.00 ",44.8%,"1,367",98,119,252,143," $ 260,200.00 ",7.7%,1367,1262,10500.00%,22.7%
860Z200US44254,ZCTA5 44254,"4,857"," $ 64,511.00 ",20.2%,"2,046",135,106,104,69," $ 185,700.00 ",24.3%,2046,1548,49800.00%,10.1%
860Z200US44255,ZCTA5 44255,"7,043"," $ 74,221.00 ",35.3%,"2,767",307,190,213,266," $ 180,300.00 ",11.6%,2767,2445,32200.00%,24.0%
860Z200US44256,ZCTA5 44256,"64,606"," $ 100,345.00 ",50.2%,"25,660","2,740","2,448","3,076","4,608"," $ 292,000.00 ",18.3%,25660,20962,469800.00%,40.2%
860Z200US44260,ZCTA5 44260,"12,733"," $ 75,261.00 ",35.1%,"5,271",680,511,287,372," $ 191,500.00 ",13.4%,5271,4566,70500.00%,25.4%
860Z200US44262,ZCTA5 44262,"5,019"," $ 75,089.00 ",41.4%,"2,147",305,237,226,120," $ 223,800.00 ",19.9%,2147,1720,42700.00%,35.4%
860Z200US44264,ZCTA5 44264,"3,599"," $ 118,277.00 ",56.1%,"1,315",205,131,166,236," $ 354,900.00 ",7.9%,1315,1211,10400.00%,45.6%
860Z200US44266,ZCTA5 44266,"32,301"," $ 61,211.00 ",27.7%,"14,058","1,548",744,"1,084",518," $ 159,900.00 ",31.0%,14058,9702,435600.00%,20.4%
860Z200US44270,ZCTA5 44270,"8,138"," $ 66,016.00 ",27.9%,"3,213",440,228,152,77," $ 160,400.00 ",26.4%,3213,2366,84700.00%,19.0%
860Z200US44272,ZCTA5 44272,"6,064"," $ 81,468.00 ",40.2%,"2,343",295,228,182,237," $ 241,200.00 ",25.7%,2343,1741,60200.00%,27.8%
860Z200US44273,ZCTA5 44273,"7,124"," $ 93,328.00 ",43.0%,"2,691",424,170,220,342," $ 242,900.00 ",8.4%,2691,2464,22700.00%,26.0%
860Z200US44274,ZCTA5 44274,95,,69.6%,46,0,32,0,0,,30.4%,46,32,1400.00%,14.9%
860Z200US44275,ZCTA5 44275,"3,190"," $ 102,083.00 ",51.7%,"1,204",201,176,115,130," $ 250,000.00 ",14.1%,1204,1034,17000.00%,13.5%
860Z200US44276,ZCTA5 44276,"1,725"," $ 75,000.00 ",28.8%,632,62,79,28,13," $ 220,500.00 ",14.1%,632,543,8900.00%,19.7%
860Z200US44278,ZCTA5 44278,"18,602"," $ 91,670.00 ",43.4%,"7,553",907,804,"1,033",532," $ 225,300.00 ",16.8%,7553,6286,126700.00%,32.6%
860Z200US44280,ZCTA5 44280,"5,372"," $ 111,042.00 ",54.6%,"2,042",178,266,290,380," $ 324,000.00 ",11.4%,2042,1809,23300.00%,37.0%
860Z200US44281,ZCTA5 44281,"34,073"," $ 88,128.00 ",43.7%,"13,758","1,464","1,304","1,626","1,618"," $ 262,200.00 ",26.5%,13758,10115,364300.00%,41.0%
860Z200US44285,ZCTA5 44285,97," $ 68,750.00 ",25.5%,47,7,5,0,0," $ 220,000.00 ",10.6%,47,42,500.00%,21.3%
860Z200US44286,ZCTA5 44286,"6,151"," $ 115,227.00 ",54.3%,"2,638",139,187,282,824," $ 388,300.00 ",6.0%,2638,2479,15900.00%,43.5%
860Z200US44287,ZCTA5 44287,"7,892"," $ 71,146.00 ",27.3%,"3,051",443,161,147,81," $ 171,300.00 ",12.7%,3051,2664,38700.00%,19.2%
860Z200US44288,ZCTA5 44288,"3,555"," $ 65,147.00 ",23.0%,"1,276",133,57,60,43," $ 159,200.00 ",28.5%,1276,912,36400.00%,11.9%
860Z200US44301,ZCTA5 44301,"14,081"," $ 52,134.00 ",14.9%,"5,875",363,193,190,128," $ 103,400.00 ",40.0%,5875,3525,235000.00%,19.6%
860Z200US44302,ZCTA5 44302,"5,302"," $ 45,323.00 ",14.5%,"2,693",182,83,100,25," $ 112,200.00 ",56.4%,2693,1174,151900.00%,25.8%
860Z200US44303,ZCTA5 44303,"7,721"," $ 72,045.00 ",34.4%,"3,902",406,323,348,266," $ 213,600.00 ",47.5%,3902,2047,185500.00%,48.5%
860Z200US44304,ZCTA5 44304,"3,669"," $ 35,946.00 ",11.3%,"1,278",44,25,75,0," $ 70,500.00 ",93.1%,1278,88,119000.00%,33.1%
860Z200US44305,ZCTA5 44305,"20,570"," $ 55,909.00 ",18.1%,"9,083","1,122",277,240,9," $ 89,900.00 ",43.9%,9083,5094,398900.00%,16.8%
860Z200US44306,ZCTA5 44306,"20,986"," $ 41,105.00 ",9.2%,"9,188",499,172,146,25," $ 77,500.00 ",54.1%,9188,4218,497000.00%,8.4%
860Z200US44307,ZCTA5 44307,"6,336"," $ 28,802.00 ",5.4%,"3,039",81,63,19,0," $ 75,700.00 ",66.6%,3039,1016,202300.00%,10.3%
860Z200US44308,ZCTA5 44308,"1,261"," $ 15,473.00 ",15.1%,431,2,7,11,45," $ 433,300.00 ",95.8%,431,18,41300.00%,26.9%
860Z200US44310,ZCTA5 44310,"24,420"," $ 38,912.00 ",11.2%,"10,023",526,341,192,66," $ 91,400.00 ",60.7%,10023,3942,608100.00%,13.0%
860Z200US44311,ZCTA5 44311,"7,580"," $ 23,857.00 ",11.2%,"2,774",230,60,16,6," $ 64,000.00 ",86.7%,2774,368,240600.00%,9.1%
860Z200US44312,ZCTA5 44312,"30,739"," $ 64,542.00 ",27.2%,"13,658","1,371",920,697,721," $ 142,100.00 ",25.2%,13658,10213,344500.00%,18.7%
860Z200US44313,ZCTA5 44313,"27,680"," $ 76,404.00 ",35.3%,"13,243","1,145",970,"1,242","1,322"," $ 216,200.00 ",40.1%,13243,7930,531300.00%,46.3%
860Z200US44314,ZCTA5 44314,"17,292"," $ 47,358.00 ",15.9%,"7,901",743,307,136,72," $ 83,000.00 ",46.5%,7901,4227,367400.00%,12.0%
860Z200US44319,ZCTA5 44319,"21,469"," $ 74,781.00 ",33.6%,"9,480","1,161",486,884,654," $ 188,400.00 ",25.6%,9480,7050,243000.00%,28.8%
860Z200US44320,ZCTA5 44320,"18,134"," $ 40,013.00 ",15.8%,"8,293",406,310,369,227," $ 102,600.00 ",44.3%,8293,4621,367200.00%,17.6%
860Z200US44321,ZCTA5 44321,"15,743"," $ 119,282.00 ",63.3%,"6,339",976,608,973,"1,456"," $ 320,400.00 ",22.8%,6339,4895,144400.00%,55.4%
860Z200US44325,ZCTA5 44325,853,,,0,0,0,0,0,,,0,0,0.00%,0.0%
860Z200US44333,ZCTA5 44333,"19,884"," $ 119,313.00 ",58.0%,"8,051",721,597,"1,050","2,301"," $ 362,600.00 ",15.9%,8051,6768,128300.00%,57.2%
860Z200US44401,ZCTA5 44401,"2,565"," $ 67,094.00 ",31.7%,999,100,11,141,65," $ 229,400.00 ",12.8%,999,871,12800.00%,21.2%
860Z200US44402,ZCTA5 44402,"2,588"," $ 74,023.00 ",23.3%,"1,117",96,20,66,78," $ 148,600.00 ",14.2%,1117,958,15900.00%,17.9%
860Z200US44403,ZCTA5 44403,"3,766"," $ 62,312.00 ",28.3%,"1,785",178,91,131,106," $ 145,000.00 ",12.3%,1785,1565,22000.00%,16.3%
