Geography,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,TotalSalaryPopulation,100k+,125Kk+,150k+,200k+, MedianHomeValue ,PctRenter,TotalRentersPopulation,OwnerOccupied,RenterOccupied,PctBAPlus
860Z200US12808,ZCTA5 12808,283," $ 120,250.00 ",57.8%,147,16,33,11,25," $ 344,000.00 ",2.0%,147,144,300.00%,31.7%
860Z200US12809,ZCTA5 12809,"3,639"," $ 74,631.00 ",36.4%,"1,463",205,146,142,40," $ 222,700.00 ",12.0%,1463,1287,17600.00%,20.8%
860Z200US12810,ZCTA5 12810,488," $ 51,500.00 ",24.8%,214,17,8,26,2," $ 185,800.00 ",2.8%,214,208,600.00%,17.3%
860Z200US12811,ZCTA5 12811,177,,7.7%,65,0,5,0,0," $ 268,300.00 ",0.0%,65,65,0.00%,10.9%
860Z200US12812,ZCTA5 12812,265," $ 170,156.00 ",55.1%,89,0,0,46,3," $ 392,900.00 ",0.0%,89,89,0.00%,23.0%
860Z200US12814,ZCTA5 12814,"1,145"," $ 114,861.00 ",53.9%,659,180,60,24,91," $ 240,900.00 ",13.4%,659,571,8800.00%,26.8%
860Z200US12815,ZCTA5 12815,999," $ 70,917.00 ",31.8%,534,50,34,46,40," $ 233,200.00 ",19.5%,534,430,10400.00%,22.3%
860Z200US12816,ZCTA5 12816,"4,692"," $ 79,669.00 ",37.2%,"2,085",235,249,122,170," $ 213,300.00 ",17.0%,2085,1731,35400.00%,28.4%
860Z200US12817,ZCTA5 12817,"2,023"," $ 90,469.00 ",36.9%,964,75,99,113,69," $ 304,500.00 ",17.8%,964,792,17200.00%,39.2%
860Z200US12819,ZCTA5 12819,292," $ 62,059.00 ",32.8%,122,8,26,2,4," $ 148,200.00 ",23.0%,122,94,2800.00%,9.5%
860Z200US12820,ZCTA5 12820,14,,100.0%,7,0,7,0,0,,0.0%,7,7,0.00%,50.0%
860Z200US12821,ZCTA5 12821,"2,228"," $ 32,344.00 ",4.5%,132,0,6,0,0," $ 212,000.00 ",48.5%,132,68,6400.00%,2.7%
860Z200US12822,ZCTA5 12822,"6,149"," $ 80,000.00 ",34.8%,"2,426",207,200,244,194," $ 187,500.00 ",23.6%,2426,1853,57300.00%,14.9%
860Z200US12823,ZCTA5 12823,682," $ 114,450.00 ",66.7%,225,130,16,4,0," $ 195,200.00 ",5.3%,225,213,1200.00%,74.2%
860Z200US12824,ZCTA5 12824,"1,022"," $ 123,026.00 ",62.2%,460,71,47,78,90," $ 441,000.00 ",4.6%,460,439,2100.00%,46.7%
860Z200US12827,ZCTA5 12827,"3,935"," $ 81,607.00 ",34.6%,"1,556",167,133,122,117," $ 205,700.00 ",15.6%,1556,1313,24300.00%,16.7%
860Z200US12828,ZCTA5 12828,"9,775"," $ 77,776.00 ",38.7%,"3,745",439,352,295,364," $ 213,600.00 ",16.7%,3745,3118,62700.00%,17.6%
860Z200US12831,ZCTA5 12831,"17,834"," $ 100,833.00 ",50.1%,"7,050",827,557,837,"1,312"," $ 308,700.00 ",23.5%,7050,5393,165700.00%,42.8%
860Z200US12832,ZCTA5 12832,"6,395"," $ 66,415.00 ",30.5%,"2,615",376,164,181,77," $ 155,300.00 ",20.3%,2615,2083,53200.00%,17.5%
860Z200US12833,ZCTA5 12833,"5,368"," $ 97,621.00 ",47.3%,"2,184",162,121,181,569," $ 323,000.00 ",13.6%,2184,1887,29700.00%,37.1%
860Z200US12834,ZCTA5 12834,"6,137"," $ 82,931.00 ",38.3%,"2,766",242,375,228,214," $ 234,900.00 ",18.4%,2766,2258,50800.00%,28.0%
860Z200US12835,ZCTA5 12835,"2,700"," $ 70,638.00 ",34.3%,"1,268",130,62,77,166," $ 222,800.00 ",15.1%,1268,1076,19200.00%,24.0%
860Z200US12836,ZCTA5 12836,473," $ 81,875.00 ",26.9%,264,4,15,13,39," $ 350,000.00 ",13.3%,264,229,3500.00%,31.3%
860Z200US12837,ZCTA5 12837,943," $ 76,979.00 ",25.5%,341,40,17,17,13," $ 165,300.00 ",16.7%,341,284,5700.00%,13.3%
860Z200US12838,ZCTA5 12838,699," $ 65,387.00 ",20.5%,297,8,24,23,6," $ 144,400.00 ",21.2%,297,234,6300.00%,17.5%
860Z200US12839,ZCTA5 12839,"13,618"," $ 70,006.00 ",26.1%,"5,779",820,413,179,99," $ 161,300.00 ",38.9%,5779,3531,224800.00%,14.1%
860Z200US12841,ZCTA5 12841,87," $ 61,389.00 ",24.2%,66,4,3,6,3," $ 1,031,300.00 ",0.0%,66,66,0.00%,59.8%
860Z200US12842,ZCTA5 12842,952," $ 60,592.00 ",35.9%,451,55,59,39,9," $ 227,400.00 ",20.6%,451,358,9300.00%,25.0%
860Z200US12843,ZCTA5 12843,729," $ 65,227.00 ",14.3%,280,0,0,5,35," $ 172,000.00 ",5.0%,280,266,1400.00%,16.7%
860Z200US12844,ZCTA5 12844,207," $ 181,696.00 ",74.7%,95,14,0,14,43," $ 1,037,500.00 ",9.5%,95,86,900.00%,59.4%
860Z200US12845,ZCTA5 12845,"4,389"," $ 95,583.00 ",48.9%,"1,959",365,149,220,223," $ 371,700.00 ",23.9%,1959,1491,46800.00%,34.4%
860Z200US12846,ZCTA5 12846,"3,007"," $ 47,449.00 ",24.4%,"1,579",136,45,135,69," $ 197,400.00 ",18.6%,1579,1286,29300.00%,22.3%
860Z200US12847,ZCTA5 12847,667," $ 72,700.00 ",33.6%,280,8,15,18,53," $ 261,700.00 ",10.4%,280,251,2900.00%,34.2%
860Z200US12849,ZCTA5 12849,398," $ 112,250.00 ",65.3%,118,20,19,0,38," $ 290,000.00 ",28.8%,118,84,3400.00%,19.8%
860Z200US12850,ZCTA5 12850,"2,537"," $ 94,189.00 ",43.4%,978,59,34,206,125," $ 294,600.00 ",8.4%,978,896,8200.00%,32.6%
860Z200US12851,ZCTA5 12851,304," $ 77,969.00 ",31.6%,133,14,16,2,10," $ 129,800.00 ",3.0%,133,129,400.00%,20.6%
860Z200US12852,ZCTA5 12852,381," $ 76,000.00 ",39.0%,164,11,7,41,5," $ 221,400.00 ",4.9%,164,156,800.00%,35.4%
860Z200US12853,ZCTA5 12853,"1,384"," $ 58,850.00 ",30.6%,585,52,38,19,70," $ 199,000.00 ",17.4%,585,483,10200.00%,22.1%
860Z200US12854,ZCTA5 12854,98,,45.0%,40,18,0,0,0,,0.0%,40,40,0.00%,0.0%
860Z200US12855,ZCTA5 12855,198," $ 67,955.00 ",31.6%,98,9,5,10,7," $ 157,500.00 ",6.1%,98,92,600.00%,20.1%
860Z200US12856,ZCTA5 12856,300," $ 58,714.00 ",21.2%,170,8,8,20,0," $ 223,300.00 ",48.2%,170,88,8200.00%,67.7%
860Z200US12857,ZCTA5 12857,613," $ 63,935.00 ",23.5%,319,41,20,10,4," $ 187,500.00 ",11.3%,319,283,3600.00%,30.7%
860Z200US12858,ZCTA5 12858,167," $ 151,875.00 ",64.4%,87,8,0,34,14," $ 346,300.00 ",0.0%,87,87,0.00%,41.3%
860Z200US12859,ZCTA5 12859,"1,629"," $ 72,847.00 ",43.5%,657,46,72,86,82," $ 300,300.00 ",13.4%,657,569,8800.00%,19.8%
860Z200US12860,ZCTA5 12860,377,,29.9%,147,2,0,19,23," $ 214,300.00 ",17.0%,147,122,2500.00%,26.8%
860Z200US12861,ZCTA5 12861,516," $ 98,125.00 ",47.1%,210,44,10,36,9," $ 264,700.00 ",6.7%,210,196,1400.00%,26.8%
860Z200US12862,ZCTA5 12862,149,,32.6%,95,0,0,5,26," $ 176,300.00 ",49.5%,95,48,4700.00%,78.8%
860Z200US12863,ZCTA5 12863,870," $ 92,536.00 ",36.6%,309,8,26,67,12," $ 312,300.00 ",18.8%,309,251,5800.00%,14.2%
860Z200US12864,ZCTA5 12864,9,,0.0%,4,0,0,0,0,,0.0%,4,4,0.00%,100.0%
860Z200US12865,ZCTA5 12865,"3,353"," $ 70,868.00 ",32.3%,"1,359",147,92,107,93," $ 170,300.00 ",18.3%,1359,1110,24900.00%,27.2%
860Z200US12866,ZCTA5 12866,"39,657"," $ 98,374.00 ",49.3%,"18,056","2,148","1,634","2,122","3,005"," $ 419,200.00 ",37.5%,18056,11293,676300.00%,51.6%
860Z200US12870,ZCTA5 12870,"1,770"," $ 65,326.00 ",24.1%,780,49,49,52,38," $ 255,200.00 ",17.8%,780,641,13900.00%,36.0%
860Z200US12871,ZCTA5 12871,"3,997"," $ 83,775.00 ",37.4%,"1,677",147,159,234,87," $ 246,900.00 ",26.7%,1677,1229,44800.00%,33.7%
860Z200US12872,ZCTA5 12872,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US12873,ZCTA5 12873,820," $ 95,417.00 ",47.8%,343,72,9,52,31," $ 216,400.00 ",33.2%,343,229,11400.00%,26.9%
860Z200US12874,ZCTA5 12874,154,,48.8%,84,2,3,32,4," $ 475,000.00 ",22.6%,84,65,1900.00%,47.0%
860Z200US12878,ZCTA5 12878,768," $ 61,667.00 ",20.4%,284,22,22,4,10," $ 165,200.00 ",14.4%,284,243,4100.00%,8.8%
860Z200US12883,ZCTA5 12883,"4,781"," $ 67,532.00 ",30.4%,"2,082",197,150,154,131," $ 162,300.00 ",34.8%,2082,1358,72400.00%,25.5%
860Z200US12884,ZCTA5 12884,567," $ 46,071.00 ",32.0%,222,31,19,15,6," $ 160,700.00 ",41.4%,222,130,9200.00%,11.9%
860Z200US12885,ZCTA5 12885,"4,531"," $ 65,454.00 ",27.8%,"2,165",166,159,204,73," $ 149,000.00 ",21.3%,2165,1704,46100.00%,15.6%
860Z200US12886,ZCTA5 12886,199," $ 122,719.00 ",69.0%,87,53,0,0,7," $ 345,900.00 ",0.0%,87,87,0.00%,33.3%
860Z200US12887,ZCTA5 12887,"4,629"," $ 55,361.00 ",21.4%,"1,754",185,68,69,53," $ 121,600.00 ",29.2%,1754,1241,51300.00%,14.5%
860Z200US12901,ZCTA5 12901,"32,012"," $ 59,413.00 ",28.0%,"14,282","1,472",725,937,868," $ 182,100.00 ",45.8%,14282,7736,654600.00%,30.8%
860Z200US12903,ZCTA5 12903,"1,740"," $ 76,912.00 ",29.7%,874,62,34,61,103," $ 192,700.00 ",46.1%,874,471,40300.00%,38.3%
860Z200US12910,ZCTA5 12910,"1,994"," $ 52,092.00 ",24.6%,670,84,32,29,20," $ 108,300.00 ",20.7%,670,531,13900.00%,5.3%
860Z200US12911,ZCTA5 12911,44,,0.0%,33,0,0,0,0,,63.6%,33,12,2100.00%,47.7%
860Z200US12912,ZCTA5 12912,"1,860"," $ 70,469.00 ",35.4%,758,115,39,66,48," $ 187,400.00 ",12.7%,758,662,9600.00%,28.3%
860Z200US12913,ZCTA5 12913,"1,128"," $ 71,083.00 ",31.9%,473,42,49,39,21," $ 192,700.00 ",24.7%,473,356,11700.00%,24.4%
860Z200US12914,ZCTA5 12914,892," $ 43,750.00 ",25.4%,358,63,6,12,10," $ 89,800.00 ",32.1%,358,243,11500.00%,9.5%
860Z200US12915,ZCTA5 12915,61,,0.0%,36,0,0,0,0,,30.6%,36,25,1100.00%,0.0%
860Z200US12916,ZCTA5 12916,"2,250"," $ 59,762.00 ",21.5%,916,87,64,18,28," $ 90,200.00 ",27.4%,916,665,25100.00%,17.5%
860Z200US12917,ZCTA5 12917,"1,194"," $ 70,400.00 ",26.0%,450,39,38,25,15," $ 117,200.00 ",17.1%,450,373,7700.00%,10.9%
860Z200US12918,ZCTA5 12918,"2,762"," $ 93,902.00 ",45.4%,"1,191",98,111,104,228," $ 208,200.00 ",9.2%,1191,1082,10900.00%,39.7%
860Z200US12919,ZCTA5 12919,"2,789"," $ 77,072.00 ",37.7%,"1,099",171,114,74,55," $ 170,800.00 ",25.7%,1099,817,28200.00%,24.3%
860Z200US12920,ZCTA5 12920,"2,509"," $ 70,714.00 ",35.3%,"1,032",111,65,75,113," $ 127,300.00 ",16.8%,1032,859,17300.00%,20.6%
860Z200US12921,ZCTA5 12921,"2,771"," $ 100,500.00 ",50.2%,990,45,143,236,73," $ 195,300.00 ",15.2%,990,840,15000.00%,29.6%
860Z200US12922,ZCTA5 12922,33," $ 95,625.00 ",35.3%,17,2,4,0,0," $ 193,800.00 ",11.8%,17,15,200.00%,25.9%
860Z200US12923,ZCTA5 12923,463," $ 50,000.00 ",18.0%,228,21,18,2,0," $ 107,300.00 ",21.9%,228,178,5000.00%,7.3%
860Z200US12924,ZCTA5 12924,230,,9.9%,111,0,11,0,0,,86.5%,111,15,9600.00%,0.0%
860Z200US12926,ZCTA5 12926,"2,493"," $ 55,481.00 ",27.6%,"1,074",145,82,45,24," $ 115,100.00 ",19.5%,1074,865,20900.00%,11.9%
860Z200US12927,ZCTA5 12927,308," $ 64,583.00 ",26.6%,169,13,13,15,4,,7.1%,169,157,1200.00%,25.5%
860Z200US12928,ZCTA5 12928,"1,805"," $ 79,890.00 ",41.2%,771,92,85,130,11," $ 155,400.00 ",6.1%,771,724,4700.00%,13.6%
860Z200US12929,ZCTA5 12929,"2,882"," $ 68,472.00 ",37.2%,341,56,17,48,6," $ 127,600.00 ",25.2%,341,255,8600.00%,7.7%
860Z200US12930,ZCTA5 12930,866," $ 67,458.00 ",28.5%,337,34,21,32,9," $ 96,500.00 ",11.3%,337,299,3800.00%,11.5%
860Z200US12932,ZCTA5 12932,"1,183"," $ 61,801.00 ",25.9%,599,51,19,35,50," $ 175,900.00 ",19.7%,599,481,11800.00%,31.0%
860Z200US12933,ZCTA5 12933,7,,0.0%,3,0,0,0,0,,0.0%,3,3,0.00%,0.0%
860Z200US12934,ZCTA5 12934,"1,147"," $ 76,167.00 ",34.8%,462,73,50,26,12," $ 111,100.00 ",28.1%,462,332,13000.00%,17.2%
860Z200US12935,ZCTA5 12935,"1,159"," $ 55,625.00 ",25.3%,541,48,31,33,25," $ 107,300.00 ",22.0%,541,422,11900.00%,14.4%
860Z200US12936,ZCTA5 12936,693," $ 73,843.00 ",32.4%,315,38,11,28,25," $ 221,600.00 ",15.2%,315,267,4800.00%,38.5%
860Z200US12937,ZCTA5 12937,"1,340"," $ 49,265.00 ",21.1%,546,63,22,24,6," $ 103,300.00 ",16.7%,546,455,9100.00%,13.8%
860Z200US12939,ZCTA5 12939,162," $ 51,736.00 ",36.1%,97,0,17,11,7," $ 278,100.00 ",37.1%,97,61,3600.00%,22.8%
860Z200US12941,ZCTA5 12941,"1,477"," $ 77,833.00 ",33.4%,626,87,37,46,39," $ 200,000.00 ",8.3%,626,574,5200.00%,30.1%
860Z200US12942,ZCTA5 12942,462," $ 113,750.00 ",57.9%,259,51,44,20,35," $ 427,300.00 ",5.0%,259,246,1300.00%,47.1%
860Z200US12943,ZCTA5 12943,293," $ 54,943.00 ",34.7%,121,3,19,10,10," $ 222,400.00 ",30.6%,121,84,3700.00%,35.8%
860Z200US12944,ZCTA5 12944,"4,043"," $ 70,375.00 ",35.3%,"1,591",216,114,201,30," $ 150,900.00 ",23.1%,1591,1223,36800.00%,24.3%
860Z200US12945,ZCTA5 12945,535," $ 88,114.00 ",13.2%,197,12,10,0,4," $ 255,500.00 ",0.0%,197,197,0.00%,36.7%
860Z200US12946,ZCTA5 12946,"4,805"," $ 78,261.00 ",43.2%,"2,346",293,238,134,349," $ 443,800.00 ",28.0%,2346,1688,65800.00%,40.4%
860Z200US12950,ZCTA5 12950,701," $ 74,375.00 ",20.1%,339,39,15,14,0," $ 146,200.00 ",19.5%,339,273,6600.00%,17.5%
860Z200US12952,ZCTA5 12952,226,,11.2%,107,6,0,6,0," $ 41,500.00 ",41.1%,107,63,4400.00%,3.8%
860Z200US12953,ZCTA5 12953,"12,842"," $ 64,673.00 ",33.3%,"4,796",865,258,251,224," $ 123,100.00 ",35.2%,4796,3106,169000.00%,22.1%
860Z200US12955,ZCTA5 12955,494," $ 73,214.00 ",25.2%,218,19,13,23,0," $ 159,100.00 ",12.8%,218,190,2800.00%,23.3%
860Z200US12956,ZCTA5 12956,"1,538"," $ 67,526.00 ",23.7%,583,54,0,84,0," $ 117,400.00 ",28.5%,583,417,16600.00%,18.4%
860Z200US12957,ZCTA5 12957,"1,721"," $ 57,839.00 ",24.2%,788,110,55,26,0," $ 87,700.00 ",39.8%,788,474,31400.00%,9.7%
860Z200US12958,ZCTA5 12958,"1,650"," $ 58,512.00 ",31.8%,746,155,0,70,12," $ 147,300.00 ",8.6%,746,682,6400.00%,14.8%
860Z200US12959,ZCTA5 12959,"1,790"," $ 68,813.00 ",35.2%,879,194,19,14,82," $ 193,800.00 ",7.3%,879,815,6400.00%,12.4%
860Z200US12960,ZCTA5 12960,995," $ 61,443.00 ",25.3%,450,16,39,59,0," $ 140,300.00 ",2.0%,450,441,900.00%,44.1%
860Z200US12961,ZCTA5 12961,92,,0.0%,78,0,0,0,0,,0.0%,78,78,0.00%,70.7%
860Z200US12962,ZCTA5 12962,"5,131"," $ 67,511.00 ",29.4%,"2,293",341,123,126,84," $ 169,000.00 ",14.9%,2293,1951,34200.00%,22.3%
860Z200US12964,ZCTA5 12964,46," $ 79,063.00 ",29.6%,27,4,0,0,4,,11.1%,27,24,300.00%,48.8%
860Z200US12965,ZCTA5 12965,281," $ 63,214.00 ",21.1%,142,0,12,13,5," $ 88,600.00 ",15.5%,142,120,2200.00%,6.3%
860Z200US12966,ZCTA5 12966,"2,962"," $ 66,016.00 ",27.0%,"1,188",124,82,71,44," $ 119,200.00 ",14.5%,1188,1016,17200.00%,19.3%
860Z200US12967,ZCTA5 12967,"1,363"," $ 78,438.00 ",29.9%,461,63,34,23,18," $ 96,300.00 ",18.7%,461,375,8600.00%,17.5%
860Z200US12969,ZCTA5 12969,253," $ 59,063.00 ",15.5%,129,0,4,4,12," $ 104,700.00 ",24.0%,129,98,3100.00%,28.7%
860Z200US12970,ZCTA5 12970,"1,022"," $ 81,250.00 ",35.0%,180,16,17,8,22," $ 300,000.00 ",27.8%,180,130,5000.00%,49.8%
860Z200US12972,ZCTA5 12972,"7,063"," $ 120,822.00 ",59.6%,"2,804",409,496,298,467," $ 195,600.00 ",11.3%,2804,2488,31600.00%,31.8%
860Z200US12973,ZCTA5 12973,136," $ 86,875.00 ",49.1%,55,14,8,5,0," $ 98,800.00 ",0.0%,55,55,0.00%,9.7%
860Z200US12974,ZCTA5 12974,"1,545"," $ 43,832.00 ",27.5%,837,184,15,8,23," $ 154,900.00 ",30.0%,837,586,25100.00%,17.1%
860Z200US12975,ZCTA5 12975,107,,45.2%,84,21,15,0,2," $ 97,000.00 ",16.7%,84,70,1400.00%,29.4%
860Z200US12976,ZCTA5 12976,196," $ 70,417.00 ",34.5%,119,15,6,5,15," $ 291,700.00 ",20.2%,119,95,2400.00%,68.4%
860Z200US12977,ZCTA5 12977,"1,186",,100.0%,8,0,0,0,8,,0.0%,8,8,0.00%,1.5%
860Z200US12978,ZCTA5 12978,243," $ 97,470.00 ",49.4%,81,34,0,6,0,,0.0%,81,81,0.00%,0.0%
860Z200US12979,ZCTA5 12979,"2,542"," $ 47,135.00 ",22.7%,"1,256",77,74,77,57," $ 180,500.00 ",46.1%,1256,677,57900.00%,20.4%
860Z200US12980,ZCTA5 12980,"1,064"," $ 61,447.00 ",22.2%,528,40,10,52,15," $ 98,100.00 ",9.8%,528,476,5200.00%,13.7%
860Z200US12981,ZCTA5 12981,"2,233"," $ 73,258.00 ",31.4%,838,76,104,41,42," $ 141,900.00 ",12.8%,838,731,10700.00%,19.8%
860Z200US12983,ZCTA5 12983,"7,410"," $ 64,604.00 ",31.6%,"3,520",329,203,288,294," $ 207,800.00 ",43.0%,3520,2007,151300.00%,39.9%
860Z200US12985,ZCTA5 12985,775," $ 74,432.00 ",42.3%,326,66,34,0,38," $ 157,700.00 ",14.7%,326,278,4800.00%,16.5%
860Z200US12986,ZCTA5 12986,"5,304"," $ 60,717.00 ",28.4%,"2,313",276,189,99,92," $ 132,400.00 ",29.8%,2313,1623,69000.00%,22.3%
860Z200US12987,ZCTA5 12987,188," $ 111,083.00 ",56.8%,95,20,19,5,10," $ 223,700.00 ",11.6%,95,84,1100.00%,45.8%
860Z200US12989,ZCTA5 12989,"1,012"," $ 78,438.00 ",39.6%,482,89,55,30,17," $ 196,500.00 ",8.7%,482,440,4200.00%,23.2%
860Z200US12992,ZCTA5 12992,"4,129"," $ 78,214.00 ",34.9%,"1,706",264,131,105,96," $ 173,100.00 ",22.7%,1706,1318,38800.00%,18.9%
860Z200US12993,ZCTA5 12993,"1,730"," $ 64,688.00 ",34.0%,776,97,62,27,78," $ 193,500.00 ",20.9%,776,614,16200.00%,26.0%
860Z200US12996,ZCTA5 12996,"1,937"," $ 64,306.00 ",38.1%,875,95,106,86,46," $ 234,600.00 ",16.0%,875,735,14000.00%,23.2%
860Z200US12997,ZCTA5 12997,"1,280"," $ 80,568.00 ",39.1%,527,51,28,71,56," $ 272,800.00 ",16.5%,527,440,8700.00%,28.3%
860Z200US12998,ZCTA5 12998,334," $ 41,411.00 ",4.3%,141,0,0,6,0,,0.0%,141,141,0.00%,16.5%
860Z200US13020,ZCTA5 13020,117," $ 90,074.00 ",9.8%,41,0,4,0,0," $ 265,900.00 ",12.2%,41,36,500.00%,9.5%
860Z200US13021,ZCTA5 13021,"37,479"," $ 58,946.00 ",27.1%,"16,973","1,273","1,320","1,054",945," $ 169,300.00 ",37.2%,16973,10652,632100.00%,25.3%
860Z200US13024,ZCTA5 13024,"1,209",,,0,0,0,0,0,,,0,0,0.00%,0.0%
860Z200US13026,ZCTA5 13026,"1,703"," $ 96,000.00 ",47.4%,534,112,48,62,31," $ 202,000.00 ",23.6%,534,408,12600.00%,36.7%
860Z200US13027,ZCTA5 13027,"35,233"," $ 91,369.00 ",45.6%,"14,779","1,775","1,165","1,434","2,369"," $ 226,500.00 ",30.2%,14779,10323,445600.00%,42.3%
860Z200US13028,ZCTA5 13028,913," $ 88,906.00 ",44.6%,334,91,37,10,11," $ 149,200.00 ",3.9%,334,321,1300.00%,21.8%
860Z200US13029,ZCTA5 13029,"7,594"," $ 101,555.00 ",51.8%,"2,961",392,291,337,514," $ 236,000.00 ",23.2%,2961,2275,68600.00%,34.0%
860Z200US13030,ZCTA5 13030,"3,611"," $ 77,541.00 ",33.3%,"1,440",93,93,161,132," $ 195,400.00 ",12.6%,1440,1258,18200.00%,22.5%
860Z200US13031,ZCTA5 13031,"16,076"," $ 92,687.00 ",45.5%,"7,108",799,684,896,854," $ 207,100.00 ",23.6%,7108,5430,167800.00%,42.9%
860Z200US13032,ZCTA5 13032,"12,964"," $ 74,217.00 ",34.0%,"5,229",685,389,447,257," $ 148,900.00 ",19.3%,5229,4222,100700.00%,19.7%
860Z200US13033,ZCTA5 13033,"3,660"," $ 80,234.00 ",38.3%,"1,320",170,127,117,92," $ 166,300.00 ",14.5%,1320,1129,19100.00%,18.1%
860Z200US13034,ZCTA5 13034,"2,088"," $ 102,813.00 ",52.0%,809,118,82,102,119," $ 177,500.00 ",14.1%,809,695,11400.00%,23.6%
860Z200US13035,ZCTA5 13035,"8,191"," $ 110,972.00 ",54.1%,"3,033",297,325,366,652," $ 276,600.00 ",15.1%,3033,2576,45700.00%,47.6%
860Z200US13036,ZCTA5 13036,"9,079"," $ 87,610.00 ",41.5%,"3,618",475,433,194,398," $ 173,900.00 ",21.0%,3618,2858,76000.00%,21.2%
860Z200US13037,ZCTA5 13037,"9,519"," $ 79,191.00 ",40.1%,"3,701",416,254,354,460," $ 211,000.00 ",24.6%,3701,2789,91200.00%,32.3%
860Z200US13039,ZCTA5 13039,"17,184"," $ 108,694.00 ",55.2%,"6,825",922,754,"1,153",938," $ 228,800.00 ",15.8%,6825,5750,107500.00%,36.6%
860Z200US13040,ZCTA5 13040,"2,683"," $ 67,049.00 ",32.9%,"1,035",182,53,77,28," $ 126,600.00 ",20.3%,1035,825,21000.00%,17.9%
860Z200US13041,ZCTA5 13041,"12,094"," $ 108,491.00 ",55.9%,"4,560",725,355,965,504," $ 199,200.00 ",10.6%,4560,4076,48400.00%,34.6%
860Z200US13042,ZCTA5 13042,"1,884"," $ 102,031.00 ",52.5%,773,122,128,115,41," $ 131,100.00 ",9.6%,773,699,7400.00%,28.4%
860Z200US13044,ZCTA5 13044,"2,884"," $ 69,300.00 ",40.2%,"1,138",146,77,143,91," $ 144,600.00 ",6.6%,1138,1063,7500.00%,13.0%
860Z200US13045,ZCTA5 13045,"28,388"," $ 67,028.00 ",29.8%,"11,238","1,066",881,776,625," $ 162,700.00 ",42.0%,11238,6517,472100.00%,27.9%
860Z200US13051,ZCTA5 13051,52,,100.0%,35,6,29,0,0,,0.0%,35,35,0.00%,11.5%
860Z200US13052,ZCTA5 13052,"1,762"," $ 78,750.00 ",38.1%,646,93,63,52,38," $ 133,500.00 ",16.3%,646,541,10500.00%,20.8%
860Z200US13053,ZCTA5 13053,"4,756"," $ 71,950.00 ",35.4%,"1,967",158,142,227,170," $ 229,200.00 ",31.5%,1967,1348,61900.00%,42.2%
860Z200US13054,ZCTA5 13054,"1,289"," $ 99,643.00 ",49.6%,476,54,101,62,19," $ 208,900.00 ",11.6%,476,421,5500.00%,23.0%
860Z200US13057,ZCTA5 13057,"14,476"," $ 77,908.00 ",36.5%,"6,504",723,432,720,501," $ 159,800.00 ",26.1%,6504,4807,169700.00%,28.8%
860Z200US13060,ZCTA5 13060,"2,845"," $ 60,661.00 ",33.1%,"1,250",146,93,105,70," $ 116,600.00 ",10.7%,1250,1116,13400.00%,17.6%
860Z200US13061,ZCTA5 13061,641," $ 83,239.00 ",42.0%,319,47,38,21,28," $ 222,600.00 ",8.2%,319,293,2600.00%,33.3%
860Z200US13062,ZCTA5 13062,241,,36.1%,122,0,0,0,44," $ 252,800.00 ",32.0%,122,83,3900.00%,24.3%
860Z200US13063,ZCTA5 13063,"1,644"," $ 80,250.00 ",43.5%,796,186,38,60,62," $ 216,000.00 ",10.1%,796,716,8000.00%,26.2%
860Z200US13065,ZCTA5 13065,131,,50.0%,74,37,0,0,0," $ 96,200.00 ",0.0%,74,74,0.00%,0.0%
860Z200US13066,ZCTA5 13066,"12,680"," $ 121,599.00 ",58.5%,"5,455",505,602,827,"1,257"," $ 265,900.00 ",18.1%,5455,4470,98500.00%,55.2%
860Z200US13068,ZCTA5 13068,"4,464"," $ 79,521.00 ",36.1%,"1,973",227,200,140,146," $ 207,900.00 ",28.5%,1973,1410,56300.00%,36.7%
860Z200US13069,ZCTA5 13069,"23,176"," $ 63,156.00 ",31.2%,"9,819","1,292",624,744,400," $ 112,600.00 ",33.7%,9819,6509,331000.00%,18.0%
860Z200US13071,ZCTA5 13071,760," $ 79,464.00 ",33.2%,289,13,13,48,22," $ 179,600.00 ",23.5%,289,221,6800.00%,26.0%
860Z200US13072,ZCTA5 13072,811," $ 46,836.00 ",12.2%,335,17,7,14,3," $ 99,700.00 ",16.7%,335,279,5600.00%,15.1%
860Z200US13073,ZCTA5 13073,"6,246"," $ 71,316.00 ",35.0%,"2,651",387,234,239,69," $ 167,900.00 ",25.9%,2651,1964,68700.00%,28.9%
860Z200US13074,ZCTA5 13074,"4,471"," $ 73,681.00 ",35.3%,"1,739",242,275,47,49," $ 137,300.00 ",19.5%,1739,1400,33900.00%,10.5%
860Z200US13076,ZCTA5 13076,"2,521"," $ 87,865.00 ",43.4%,987,181,22,44,181," $ 175,100.00 ",4.2%,987,946,4100.00%,17.2%
860Z200US13077,ZCTA5 13077,"6,567"," $ 70,111.00 ",33.7%,"2,981",401,188,192,223," $ 168,800.00 ",21.7%,2981,2333,64800.00%,35.6%
860Z200US13078,ZCTA5 13078,"10,564"," $ 114,657.00 ",61.4%,"3,849",746,361,411,847," $ 279,200.00 ",15.5%,3849,3251,59800.00%,43.5%
