ID,AutoIds,Type,Name,Address,google-name,GScore,GRevCount,JScore,Tier,Must-Visit,Day,Note,Lat,Lon,LiveCensusLat,LiveCensusLon,store-pk,google-url
MAM,MAM1,Antique,Maumee Antique Mall,"1552 S Reynolds Rd, Maumee, OH 43537",Maumee Antique Mall,4.6,"1,626",3.8,Top,,,Was must-visit. Closer look dropped it off the list.,41.590842984434,-83.664615541868,-Have Lat-,-Have Lon-,31,https://maps.app.goo.gl/fbLomVTHonFY8ues7
AAI,AAI1,ArchSalvage,Architectural Artifacts Inc.,"20 S Ontario St, Toledo, OH 43604",Architectural Artifacts Inc.,4.4,99,4.1,Top,,,"ArchSalvage, but looks good.",41.649091695510,-83.542472855926,-Have Lat-,-Have Lon-,32,https://maps.app.goo.gl/1icsJgnQHRARacuz6
HOD,HOD1,Vintage,House of Dow,"1501 Adams St, Toledo, OH 43604",House of Dow,4.6,149,3.9,Top,,,Looks Good,41.657294398356,-83.543708655603,-Have Lat-,-Have Lon-,33,https://maps.app.goo.gl/5FcPq8e8prDFgTqQ9
TVAT,TVAT1,Antique,The Vault Antiques & Treasures,"1583 W Sylvania Ave, Toledo, OH 43612",The Vault Antiques & Treasures,4.8,162,4.3,Top,must-visit,,Looks Good,41.692281669916,-83.582227128609,-Have Lat-,-Have Lon-,34,https://maps.app.goo.gl/2928ZqRjdbRJWQcr8
TSL,TSL1,Thrift,That Store LLC,"3237 W Sylvania Ave, Toledo, OH 43613",That Store LLC,5.0,1,1.0,Low,,,Looks like modern stuff and cheap jewelry,41.691764993694,-83.622275071409,-Have Lat-,-Have Lon-,35,https://maps.app.goo.gl/wejurGwbVHhduix69
GFIM,GFIM1,Antique,Great Finds in Maumee,"1855 S Reynolds Rd, Toledo, OH 43614",Great Finds in Maumee,4.4,114,3.0,Mid,,,Has a lot of 'Boutique' indicators,41.605764160280,-83.664543898393,-Have Lat-,-Have Lon-,36,https://maps.app.goo.gl/mvb7jCHZ6Vc3RHTf9
NLRS,NLRS1,Thrift,Nine LIves Resale Shop,"4317 Heatherdowns Blvd, Toledo, OH 43614",Nine Lives Resale Shop,4.3,48,3.7,Top,,,Proper Thrift Store,41.594192689079,-83.644269327428,-Have Lat-,-Have Lon-,37,https://maps.app.goo.gl/zf7rhBGDwNDMHvuD9
TCKA,TCKA1,Antique,The Copper Kettle Antiques,"1544 S Byrne Rd, Toledo, OH 43614",The Copper Kettle Antiques,4.8,98,4.6,Top,,,Looks to great junk/antique store,41.611610835276,-83.625851872076,-Have Lat-,-Have Lon-,38,https://maps.app.goo.gl/rvT6yVg5zJskmFUj9
CIHI,CIHI1,Consignment,Consign It! Home Interiors,"6925 Central Ave, Toledo, OH 43617",Consign It! Home Interiors,4.6,328,1.5,Top,,,"Looks got at what it is, but not for me.",41.674305548524,-83.708647689865,-Have Lat-,-Have Lon-,39,https://maps.app.goo.gl/mXSkaUwzDr61fNar9
GCHFH,GCHFH1,Thrift,Greater Cleveland Habitat for Humanity - Amherst ReStore,"300 Rice Industrial Pkwy, Amherst, OH 44001",Greater Cleveland Habitat for Humanity - Amherst ReStore,3.5,69,3.5,Mid,,,Classic HfH - furniture and stuff. Quick stop,41.395525506208,-82.209643093814,-Have Lat-,-Have Lon-,40,https://maps.app.goo.gl/YtxRVQwd2W1n9bsQ7
ORBA,ORBA1,Antique,Olde Red Barn Antiques & Collectibles,"186 W Main St, Andover, OH 44003",Olde Red Barn Antiques & Collectibles,3.8,21,1.0,Low,,,Somebody's back barn. Sounds like difficult owner.,41.607193133509,-80.575120353708,-Have Lat-,-Have Lon-,41,https://maps.app.goo.gl/HZ66kSc6vxZc9Gix7
AAM,AAM1,Antique,Ashtabula Antique Mall,"4876 N Ridge Rd W, Ashtabula, OH 44004",Ashtabula Antique Mall,3.4,72,3.8,Top,,,"Looks great, no frills",41.836574484200,-80.853763996725,-Have Lat-,-Have Lon-,42,https://maps.app.goo.gl/gaqn6TEEziygtPhB7
CFAN,CFAN1,Thrift,Classic Finds and Nautical,"Bridge St, Ashtabula, OH 44004",Classic Finds and Nautical,5.0,3,4.0,Top,,,Just has some xFactor,41.899681400000,-80.798962400000,-Have Lat-,-Have Lon-,43,https://maps.app.goo.gl/KsU1dP2S7CTYoiw56
FSW,FSW1,Antique,Fat Sally's Warehouse,"1569 Laird Dr, Ashtabula, OH 44004",Fat Sally's Warehouse,4.7,213,4.1,Top,,,"Looks good, nice stuff, not too fancy",41.893855805386,-80.804068111485,-Have Lat-,-Have Lon-,44,https://maps.app.goo.gl/B5AuTfrHm3pEyC9w7
TCS,TCS1,Antique,The Curiosity Shoppe,"3315 N Ridge Rd E, Ashtabula, OH 44004",The Curiosity Shoppe,4.1,63,3.9,Top,,,Seems like mostly furniture,41.879531637759,-80.752066796881,-Have Lat-,-Have Lon-,45,https://maps.app.goo.gl/hY8zKo7K4NF2PKc48
JHA,JHA1,Antique,Jameson Homestead Antiques,"36675 Detroit Rd, Avon, OH 44011",Jameson Homestead Antiques,4.4,65,3.0,Mid,,,Not vibing with the interior photos,41.454173824105,-82.031499065976,-Have Lat-,-Have Lon-,46,https://maps.app.goo.gl/jaP2SHwGz9WW3tms8
CTSAB,CTSAB1,Boutique,Columbia Thrift Store and boutique,"23005 Sprague Rd, Columbia Station, OH 44028",Columbia Thrift Store and boutique,5.0,16,3.2,Mid,,,Looks like a decent store. Christian charity,41.350632649461,-81.877647309574,-Have Lat-,-Have Lon-,47,https://maps.app.goo.gl/cK9S1MukwLRb6uC48
CTS,CTS1,Thrift,Conneaut Thrift Shop,"255 Main St, Conneaut, OH 44030",Conneaut Thrift Shop,4.7,21,3.7,Mid,,,Hospital Thrift shop!,41.942841691849,-80.555892279975,-Have Lat-,-Have Lon-,48,https://maps.app.goo.gl/MFnBjY7hUC6zFBU76
BB,BB1,Boutique,Broadway Boutique,"390 Broad St, Elyria, OH 44035",Broadway Boutique,4.0,1,0.5,Low,,,All signs point to closed for good,41.367569600000,-82.716291400000,-Have Lat-,-Have Lon-,49,https://maps.app.goo.gl/6mDD4GtsDkQDqdRb6
NTYRS,NTYRS1,Thrift,New To You Resale Shop,"625 Broad St, Elyria, OH 44035",New To You Resale Shop,4.6,56,3.9,Top,,,Looks likd a solid store,41.367846176278,-82.112124710051,-Have Lat-,-Have Lon-,50,https://maps.app.goo.gl/Vw6VUZ8pp87nat1Q9
RE,RE1,Thrift,Roxy's Emporium,"Shops On Broad, 374 Broad St, Elyria, OH 44035",Roxy's Emporium,4.6,28,0.5,Low,,,Indications are there is nothing there,41.367699000000,-82.106090600000,-Have Lat-,-Have Lon-,51,https://maps.app.goo.gl/hMt39MVoewF5E2aL9
TBH,TBH1,Furniture,The Bargain House,"450 Cleveland St, Elyria, OH 44035",The Bargain House,4.9,346,4.0,Top,,,FURNITURE STORE,41.375145226291,-82.085263050924,-Have Lat-,-Have Lon-,52,https://maps.app.goo.gl/NZHGyyzuwJjhyT4r9
BA,BA1,Antique,Broadway Antiques,"71 N Broadway, Geneva, OH 44041",Broadway Antiques,4.3,25,3.8,Mid,,,"Small store, but funky and interesting looking",41.806049682886,-80.947186950183,-Have Lat-,-Have Lon-,53,https://maps.app.goo.gl/kPq2yXy9nb9wLS5o6
CCC,CCC1,Boutique,Classic Country Consignments,"4426 N Ridge Rd E, Geneva, OH 44041",Classic Country Consignments,4.4,38,1.0,Mid,,,Looks like boutique + modern junk,41.805058013017,-80.913059023691,-Have Lat-,-Have Lon-,54,https://maps.app.goo.gl/KobNBE4fDZoWGrMR9
GT,GT1,Thrift,Geneva Thrift,"660 E Main St, Geneva, OH 44041",Geneva Thrift,5.0,6,2.0,Low,,,Just looks like stuff I'm not into.,41.808778981594,-80.936936154875,-Have Lat-,-Have Lon-,55,https://maps.app.goo.gl/dcfC272qBVncc3qV9
TGD,TGD1,Antique,The Green Door,"OH-84, Geneva, OH 44041",The Green Door,4.4,23,3.9,Mid,,,This place looks interesting,41.780260300000,-81.002470700000,-Have Lat-,-Have Lon-,56,https://maps.app.goo.gl/PC7i2BwJjfgEQLAJ8
TRVM,TRVM1,Vintage,The Refindary Vintage Market,"39 S Chestnut St, Jefferson, OH 44047",The Refindary Vintage Market,5.0,20,3.6,Mid,,,Multi-Dealer? Might be worth the stop,41.737520062976,-80.769540344631,-Have Lat-,-Have Lon-,57,https://maps.app.goo.gl/91WPeCjjjmQmu4Ps6
BBAAC,BBAAC1,Antique,Be Back Antiques and Collectibles,"1342 N Leavitt Rd, Lorain, OH 44052",Be Back Antiques and Collectibles,4.5,54,2.8,Mid,,,Mid all around,41.455896826049,-82.202431871733,-Have Lat-,-Have Lon-,58,https://maps.app.goo.gl/sE1sWPLEeEHuxhgv7
SAF,SAF1,Discount,Simply Affordable Finds,"26649 Brookpark Ext, North Olmsted, OH 44070",Simply Affordable Finds,4.8,70,1.0,Mid,,,"Liquidation store, meh",41.419641314396,-81.917510545130,-Have Lat-,-Have Lon-,59,https://maps.app.goo.gl/kQ3A1wPqdyf994sH9
VWT-Olmstead,VWT,Thrift,Value World Thrift,"24869 Lorain Rd, North Olmsted, OH 44070",Value World Thrift,4.2,387,4.5,Top,,,Classic Chain - Get in there.,41.425528608980,-81.897199579145,-Have Lat-,-Have Lon-,60,https://maps.app.goo.gl/9BQ8imX6AURECGqW7
MSA,MSA3,Antique,Main Street Antiques,"335 S Main St, Oberlin, OH 44074",Main Street Antiques,4.6,114,3.8,Top,,,Looks huge,41.282454290143,-82.217600403511,-Have Lat-,-Have Lon-,61,https://maps.app.goo.gl/NW4oB1Fm4EumKBzp6
RS,RS1,Boutique,Ratsy's Store,"27 S Main St, Oberlin, OH 44074",Ratsy's Store,4.9,42,4.1,Top,,,Has a Mystery Spot (but Boutique) vibe. I'll go,41.290986630900,-82.217343351938,-Have Lat-,-Have Lon-,62,https://maps.app.goo.gl/yiUBKTCRHt3KGrzh9
SBTL,SBTL1,Vintage,Shops By The Lake,"1871 N Ridge Rd, Painesville, OH 44077",Shops By The Lake,4.5,525,4.0,Top,must-visit,,150 store multi-dealer : yeah,41.748994881171,-81.208780911127,-Have Lat-,-Have Lon-,63,https://maps.app.goo.gl/xhDjZi6dpxi9cGkn6
