Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
15489,ZCTA5 15489,103125,53.623,0.000,161,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,69,37,69
15490,ZCTA5 15490,66429,48.315,0.000,541,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,178,86,178
15492,ZCTA5 15492,,48.780,34.146,172,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,14,41,20,41
15501,ZCTA5 15501,55797,38.218,30.153,16447,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,2004,6646,2540,6646
15502,ZCTA5 15502,80625,54.386,17.544,86,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,10,57,31,57
15510,ZCTA5 15510,,,,2128,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
15520,ZCTA5 15520,,51.250,0.000,225,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,0,80,41,80
15521,ZCTA5 15521,57353,42.371,8.719,1961,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,64,734,311,734
15522,ZCTA5 15522,62679,43.351,26.576,10865,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1315,4948,2145,4948
15530,ZCTA5 15530,59318,36.935,22.937,5187,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,467,2036,752,2036
15531,ZCTA5 15531,52955,30.283,22.236,3625,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,362,1628,493,1628
15532,ZCTA5 15532,71250,50.000,23.214,127,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,13,56,28,56
15533,ZCTA5 15533,50221,32.477,26.606,1297,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,145,545,177,545
15534,ZCTA5 15534,52826,22.021,20.466,881,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,79,386,85,386
15535,ZCTA5 15535,57208,36.911,16.492,1901,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,126,764,282,764
