store_id,store_name,store_type,G_Rating,G_RevCount,G_LowK,G_LowK_RevCount,G_HighK,G_HighK_RevCount,J_Prior,J_Post,Atlas_Value,Atlas_Yield
MB,"Miscellaneous Barn",Antique,4.8,42,4.615,42,4.574,42,3.9,"",,
GJE,"Grandma Jaree's Emporium",Junk,4.0,144,4.119,144,4.169,144,4.9,3.5,,
PLAM,"Penny Lane Antique Mall",Antique,4.4,375,4.407,375,4.411,375,3.5,"",,
AU2,"Antique Underground",Antique,4.5,26,4.474,26,4.47,26,3.3,"",,
PLTS,"Pot Luck Thrift Shop",Thrift,4.2,34,4.355,34,4.385,34,3.3,"",,
TJD,"The Junkyard's Daughter",Antique,4.5,35,4.477,35,4.472,35,3.7,"",,
TFJM,"The Funky Junk Market",Antique,3.8,4,4.411,4,4.43,4,3.3,"",,
OOAU,"Old, Odd, and Unique",Junk,4.6,56,4.534,56,4.516,56,4.0,"",,
JPAAC,"Julies Place Antiques and Collectibles",Antique,5.0,12,4.565,12,4.528,12,4.0,"",,
GSADC,"Goodwill Store and Donations: Canton",Thrift,3.6,390,3.698,390,3.752,390,3.5,"",,
TSAFSCT,"The Salvation Army Family Store & Donation Center",Thrift,4.0,558,4.038,558,4.06,558,3.7,4.2,,
GIOSM,"Goodwill Industries of Southeastern Michigan - Saline Store",Thrift,3.9,174,4.025,174,4.082,174,3.7,"",,
NARS,"Nu2U Again Resale Shop",Thrift,4.5,127,4.489,127,4.484,127,3.6,"",,
SCR,"SCRAP Creative Reuse",Thrift,4.6,187,4.571,187,4.557,187,3.8,4.2,,
MCAG,"Motor City Antique Gallery",Antique,4.6,971,4.593,971,4.589,971,4.0,"",,
PACM,"Plaza Antiques & Collectables Mall",Antique,4.8,24,4.57,24,4.536,24,3.7,"",,
VA,"Village Antiques",Antique,4.3,118,4.348,118,4.366,118,3.3,"",,
CCA,"Craftique Craft & antique",Antique,4.3,201,4.332,201,4.347,201,3.3,"",,
TPCAA,"Town Peddler Craft and Antique Mall",Antique,4.7,"1,970",4.694,"1,970",4.69,"1,970",4.0,4.2,,
VVACV,"Vintage Vibes Antiques Collectibles Vinyl",Antique,4.7,23,4.536,23,4.512,23,3.4,"",,
TBIN,"The Barn in Northville",Antique,4.5,121,4.488,121,4.484,121,3.8,"",,
OFA,"Odd Fellows Antiques",Antique,4.6,248,4.577,248,4.565,248,3.7,"",,
SAL,"Sinclair Antiques Llc",Antique,4.8,178,4.725,178,4.692,178,3.5,"",,
CAE,"Clawson Antiques Etc",Antique,4.6,53,4.532,53,4.515,53,3.4,"",,
CAM,"Chelsea Antique Mall",Antique,4.3,146,4.341,146,4.358,146,3.6,"",,
FCFIA,"Full Circle Foundation, Inc. and Upscale Resale Shop",Thrift,4.7,33,4.556,33,4.528,33,3.4,"",,
TAF,"Torn and Frayed",Vintage,4.9,37,4.647,37,4.595,37,3.6,"",,
TSAFS6,"The Salvation Army Family Store & Donation Center",Thrift,4.4,"1,127",4.403,"1,127",4.404,"1,127",4.0,4.0,,
VWT-ClinTown,"Value World Thrift",Thrift,4.0,498,4.042,498,4.066,498,4.5,4.2,,
CHAM,"Clarence Hollow Antique Mall & Bonadio Country Store",Antique,4.4,46,4.431,46,4.439,46,4.0,"",,
